FirstName;LastName;Phone;Email;Country;EmployeeID;In Training;Department;Position;HiredAt;TerminatedAt
Abel;Hardy;1-348-771-7092;amet.dapibus@nullasemper.edu;Netherlands;62821;No;Customer Service;Team Lead;03/17/2021;
Abraham;Rush;1-689-125-5258;faucibus.leo@etmalesuada.co.uk;United States;20385;Yes;Customer Service;Developer;06/25/2020;
Abraham;Gamble;465-4619;gravida.praesent@sed.co.uk;Belgium;16643;Yes;Tech Support;Developer;11.11.2020;
Abraham;Baker;562-5888;neque.nullam@nuncquis.com;Australia;24412;No;Quality Assurance;Manager;03/18/2021;07/14/2021
Adam;Peterson;612-9685;eu.ultrices.sit@tacitisociosqu.com;Poland;18061;Yes;Public Relations;Team Lead;08/28/2020;
Adam;Fuller;343-5526;dignissim.magna@liberoat.ca;Brazil;85741;Yes;Advertising;Manager;03/28/2018;02.08.2020
Adria;Christian;1-822-552-5769;ac.libero@pedecumsociis.ca;Chile;46335;Yes;Customer Service;Support;09/25/2021;
Adrienne;Mack;1-949-877-1321;nam.ac@tempordiamdictum.ca;India;99375;Yes;Legal Department;Assistant;12/22/2020;
Ahmed;Fox;774-3622;sed.orci@eleifendegestassed.edu;Austria;32469;Yes;Advertising;Engineer;08/27/2021;
Akeem;Holden;321-4126;pulvinar@non.net;United Kingdom;24713;No;Payroll;Support;03/21/2019;03/23/2020
Alan;Lancaster;1-568-705-5045;odio.semper@malesuadafames.edu;Nigeria;35286;No;Research and Development;QA;05/13/2020;
Alana;Mcknight;918-7573;feugiat.non@fringillaestmauris.co.uk;Indonesia;15211;No;Finances;QA;07.08.2021;
Alana;Collins;887-6585;neque@pellentesque.edu;Australia;24462;No;Sales and Marketing;Developer;10/16/2020;
Alec;Herrera;1-343-767-6585;molestie.in@nuncullamcorper.com;United States;73806;Yes;Advertising;Accountant;04.05.2020;
Alexander;Silva;1-866-684-5388;et.nunc@mienimcondimentum.org;New Zealand;21123;Yes;Quality Assurance;Assistant;01/18/2020;
Alexander;Morrison;1-291-253-2707;ultrices@libero.edu;Belgium;74843;Yes;Payroll;Assistant;04/13/2019;
Alexander;Lane;1-344-452-2882;neque.sed@fermentumarcu.org;Pakistan;92560;No;Finances;Accountant;06/19/2021;04.09.2020
Alexandra;Best;246-3446;ut.dolor@et.com;Russian Federation;33174;No;Public Relations;Engineer;10.02.2020;
Alfonso;Benton;1-727-962-5077;conubia.nostra@auguesedmolestie.com;Colombia;88576;Yes;Advertising;Team Lead;08/22/2018;
